Time,num_cases
260.25,622635
260.5,622635
260.75,622635
261,622635
261.25,622635
261.5,622635
261.75,622635
262,622635
262.25,622635
262.5,622635
262.75,622635
263,622635
263.25,622635
263.5,622635
263.75,622635
264,622635
264.25,622635
264.5,622635
264.75,622635
265,622635
265.25,622635
265.5,622635
265.75,622635
266,622635
266.25,622635
266.5,622635
266.75,622635
267,622635
267.25,622635
267.5,622635
267.75,622635
268,622635
268.25,622635
268.5,622635
268.75,622635
269,622635
269.25,622635
269.5,622635
269.75,622635
270,622635
270.25,622635
270.5,622635
270.75,622635
271,622635
271.25,622635
271.5,622635
271.75,622635
272,622635
272.25,622635
272.5,622635
272.75,622635
273,622635
273.25,622635
273.5,622635
273.75,622635
274,622635
274.25,622635
274.5,622635
274.75,622635
275,622635
275.25,622635
275.5,622635
275.75,622635
276,622635
276.25,622635
276.5,622635
276.75,622635
277,622635
277.25,622635
277.5,622635
277.75,622635
278,622635
278.25,622635
278.5,622635
278.75,622635
279,622635
279.25,622635
279.5,622635
279.75,622635
280,622635
280.25,622635
280.5,622635
280.75,622635
281,622635
281.25,622635
281.5,622635
281.75,622635
282,622635
282.25,622635
282.5,622635
282.75,622635
283,622635
283.25,622635
283.5,622635
283.75,622635
284,622635
284.25,622635
284.5,622635
284.75,622635
285,622635
285.25,622635
285.5,622635
285.75,622635
286,622635
286.25,622635
286.5,622635
286.75,622635
287,622635
287.25,622635
287.5,622635
287.75,622635
288,622635
288.25,622635
288.5,622635
288.75,622635
289,622635
289.25,622635
289.5,622635
289.75,622635
290,622635
290.25,622635
290.5,622635
290.75,622635
291,622635
291.25,622635
291.5,622635
291.75,622635
292,622635
292.25,622635
292.5,622635
292.75,622635
293,622635
293.25,622635
293.5,622635
293.75,622635
294,622635
294.25,622635
294.5,622635
294.75,622635
295,622635
295.25,622635
295.5,622635
295.75,622635
296,622635
296.25,622635
296.5,622635
296.75,622635
297,622635
297.25,622635
297.5,622635
297.75,622635
298,622635
298.25,622635
298.5,622635
298.75,622635
299,622635
299.25,622635
299.5,622635
299.75,622635
300,622635
300.25,622635
300.5,622635
300.75,622635
301,622635
301.25,622635
301.5,622635
301.75,622635
302,622635
302.25,622635
302.5,622635
302.75,622635
303,622635
303.25,622635
303.5,622635
303.75,622635
304,622635
