Time,num_recovered
469.75,92384
470,92384
470.25,92384
470.5,92384
470.75,92384
471,92384
471.25,92384
471.5,92384
471.75,92384
472,92384
472.25,92384
472.5,92384
472.75,92384
473,92384
473.25,92384
473.5,92384
473.75,92384
474,92384
474.25,92384
474.5,92384
474.75,92384
475,92384
475.25,92384
475.5,92384
475.75,92384
476,92384
476.25,92384
476.5,92384
476.75,92384
477,92384
477.25,92384
477.5,92384
477.75,92384
478,92384
478.25,92384
478.5,92384
478.75,92384
479,92384
479.25,92384
479.5,92384
479.75,92384
480,92384
480.25,92384
480.5,92384
480.75,92384
481,92384
481.25,92384
481.5,92384
481.75,92384
482,92384
482.25,92384
482.5,92384
482.75,92384
483,92384
483.25,92384
483.5,92384
483.75,92384
484,92384
484.25,92384
484.5,92384
484.75,92384
485,92384
485.25,92384
485.5,92384
485.75,92384
486,92384
486.25,92384
486.5,92384
486.75,92384
487,92384
487.25,92384
487.5,92384
487.75,92384
488,92384
488.25,92384
488.5,92384
488.75,92384
489,92384
489.25,92384
489.5,92384
489.75,92384
490,92384
490.25,92384
490.5,92384
490.75,92384
491,92384
491.25,92384
491.5,92384
491.75,92384
492,92384
492.25,92384
492.5,92384
492.75,92384
493,92384
493.25,92384
493.5,92384
493.75,92384
494,92384
494.25,92384
494.5,92384
494.75,92384
495,92384
495.25,92384
495.5,92384
495.75,92384
496,92384
496.25,92384
496.5,92384
496.75,92384
497,92384
497.25,92384
497.5,92384
497.75,92384
498,92384
498.25,92384
498.5,92384
498.75,92384
499,92384
499.25,92384
499.5,92384
499.75,92384
500,92384
500.25,92384
500.5,92384
500.75,92384
501,92384
501.25,92384
501.5,92384
501.75,92384
502,92384
502.25,92384
502.5,92384
502.75,92384
503,92384
503.25,92384
503.5,92384
503.75,92384
504,92384
504.25,92384
504.5,92384
504.75,92384
505,92384
505.25,92384
505.5,92384
505.75,92384
506,92384
506.25,92384
506.5,92384
506.75,92384
507,92384
507.25,92384
507.5,92384
507.75,92384
508,92384
508.25,92384
508.5,92384
508.75,92384
509,92384
509.25,92384
509.5,92384
509.75,92384
510,92384
510.25,92384
510.5,92384
510.75,92384
511,92384
511.25,92384
511.5,92384
511.75,92384
512,92384
512.25,92384
512.5,92384
512.75,92384
513,92384
513.25,92384
513.5,92384
513.75,92384
514,92384
514.25,92384
514.5,92384
514.75,92384
515,92384
515.25,92384
515.5,92384
515.75,92384
516,92384
516.25,92384
516.5,92384
516.75,92384
517,92384
517.25,92384
517.5,92384
517.75,92384
518,92384
518.25,92384
518.5,92384
518.75,92384
519,92384
519.25,92384
519.5,92384
519.75,92384
520,92384
520.25,92384
520.5,92384
520.75,92384
521,92384
521.25,92384
521.5,92384
521.75,92384
522,92384
522.25,92384
522.5,92384
522.75,92384
523,92384
523.25,92384
